Question,Answer
"# State:

""True or false value""",Boolean
"# Define:

Character","""Single character which can be a letter, number or symbol"""
"# Define:

Integer","""Whole numbers, positive or negative"""
"# State:

""Any number, with or without decimal places, positive or negative""",Real/Float
"# Define:

String","""A group of characters stored together"""
"# Define:

Immutable","""When the value of a number data type changes, a new object is created"""

Question,Answer
"# Define:

Casting","""Converting a variable from one data type to another"""

Question,Answer
"# Define:

Data Structures","""Collection of data objects which facilitate the storing and managing of data in a program"""
"# State:

2 advantages of using data structures","* Optimise memory usage within a system
* Can be reused and compiled into libraries"
"# State:

""A collection of data items, can be of different data types and items are accessed using each data items index value""",List
"# State:

""Contains a group of elements of the same data type""",Array
"# Define:

Dictionary","""A set of values, each with associated keys. Items are unordered and when accessed by the key, will return the associated value"""
"# Define:

Index","""A numerical representation of an item's position in a sequence"""

Question,Answer
"# Define:

Scope","""Where a variable can be accessed within a program"""
"# Fill The Blank:

A .......... variable is only accessable in a pre-determined part of a program",Local
"# Fill The Blank:

Two variables can use the same identifier if they are in different .......... because they are in a seperate area in .........","Scopes, RAM"
"# Fill The Blank:

The scope of a local variable is the ............ where it has been ...........","Subprogram, Declared"
"# Fill The Blank:

The scope of a global variable is the ............. program",Complete
"# State:

Where global variables are declared",Start of the program
"# State:

Where local variables are declared",Declared within subroutines or programming blocks and can only be used within the scope it is declared in
"# Define:

Snakecase",Where words are delimited using underscores: Variable_a
"# Define:

Camelcase","All words are started with a capital letter, apart from the first word with no spaces: variableA"
"# Define:

Pascalcase",words are started by capital letters: VariableA
"# Define:

Hungarian Notation",Describe the purpose and/ore type of variable at the start followed by a descriptor that states the function of the variable: iStudentMarks
"# Fill The Blank:

It is important variable names are ................ and easily .................. and understandable.","Consistent, Readable"

Question,Answer
"# State:

Add Operator",+
"# State:

Subtract Operator",-
"# State:

Multiply Operator",*
"# State:

Divide Operator",/
"# State:

Integer Division Operator",// (DIV)
"# State:

Modulus",% (MOD)

Question,Answer
"# State:

Equal To Operator",==
"# State:

Not Equal To Operator",!= or <>
"# State:

Greater Than",>
"# State:

Greater Than OR Equals",>=
"# State:

Less Than",<
"# State:

Less Than OR Equal To",<=

Question,Answer
"# Explain:

AND",True if **both** are true
"# Explain:

NOT",Input is **reversed**
"# Explain:

OR",True if **EITHER** inputs are true

Question,Answer
"# Fill The Blank:

Python treats files as either ....... or ........... depending on the ............. of the file","Text, Binary, Contents"
"# State:

When open() is used it requires two parameters, requiring the ........ ........... and .........","File Name, Mode"
"# State:

4 different modes of opening a file","Append ""a"" - appending (editing) a file
Create ""x"" - create the specified file
Read ""r"" - open file for reading
Write ""w"" - open a file for writing (overwrites current contents)"
"# State:

How to close a file",{filevariablename}.close()
"# Fill The Blank:

If when creating a file (using ""x"") and the file ..... then it returns an error",Exists

Question,Answer
"# State:

3 constructs used when creating algorithms","* Sequence
* Selection (branching)
* Iteration"
"# Define:

Sequence","Running a list of instructions in a strict order, the main logical structure of algorithms and programs"
"# Define:

Selection",Making a decision to dictate the flow of a program
"# Define:

Iteration",Repeating a set of instructions
"",""

Question,Answer
"# Define:

Sequencing",Order in which the program code is executed
"# State:

What 'IDLE' stands for",Integrated Development Learning Environment
"# State:

Why the IDLE is useful",Identifying mistakes; syntax and runtime errors
"# Fill The Blank:

Not all devices have debuggers, especially not ..... devices. If a device has no debugger then you can use ........... debugging","IoE, Print"
"# Fill The Blank:

Debugging can be ........ ............ and not ........ to use","Time Consuming, Easy"

Question,Answer
